Directory Name,URL,Tier,Category,Status,Date Submitted,Live Link,Notes
Google Business Profile,https://business.google.com,1,Maps & Local Search,Not submitted,,,Critical — complete first; use service areas Glasgow Edinburgh Inverness Scotland UK
Bing Places for Business,https://www.bingplaces.com,1,Maps & Local Search,Not submitted,,,Match Google NAP exactly
Apple Business Connect,https://businessconnect.apple.com,1,Maps & Local Search,Not submitted,,,Apple Maps listing
Facebook Business Page,https://www.facebook.com/business,1,Social / Local,Not submitted,,,Existing profile: facebook.com/profile.php?id=100087449468059 — verify NAP
Yell.com,https://www.yell.com,1,UK Major Directory,Not submitted,,,Check for auto-created listing first — claim don't duplicate
Thomson Local,https://www.thomsonlocal.com,1,UK Major Directory,Not submitted,,,Primary category: Removals Service
Scoot,https://www.scoot.co.uk,1,UK Major Directory,Not submitted,,,
Checkatrade,https://www.checkatrade.com,1,Trade / Vetted Directory,Not submitted,,,Removals category; may require vetting
Trustpilot Business,https://business.trustpilot.com,1,Reviews / Trust,Not submitted,,,Link: trustpilot.com/review/www.shiftmyhome.co.uk
Yelp UK (Business),https://biz.yelp.co.uk,1,Reviews / Local,Not submitted,,,
FreeIndex,https://www.freeindex.co.uk,1,UK Major Directory,Not submitted,,,
192.com Business,https://www.192.com/business,1,UK Major Directory,Not submitted,,,
Cylex UK,https://www.cylex-uk.co.uk,1,UK Major Directory,Not submitted,,,Claim via admin.cylex-uk.co.uk if auto-listed
Hotfrog UK,https://www.hotfrog.co.uk,1,UK General Directory,Not submitted,,,
Touch Local,https://www.touchlocal.com,1,UK Local Directory,Not submitted,,,
Brownbook,https://www.brownbook.net,1,UK General Directory,Not submitted,,,
UK Small Business Directory,https://www.uksmallbusinessdirectory.co.uk,1,UK General Directory,Not submitted,,,
LinkedIn Company Page,https://www.linkedin.com/company/setup/new,1,Professional / Brand,Not submitted,,,Brand presence; link to website
Opendi UK,https://www.opendi.co.uk,2,UK General Directory,Not submitted,,,
iGlobal,https://www.iglobal.co,2,UK General Directory,Not submitted,,,
Cybo,https://www.cybo.com,2,UK General Directory,Not submitted,,,
MisterWhat UK,https://www.misterwhat.co.uk,2,UK Local Directory,Not submitted,,,
Locallife,https://www.locallife.co.uk,2,UK Local Directory,Not submitted,,,
UK Business Directory (UKBD),https://www.ukbd.co.uk,2,UK General Directory,Not submitted,,,
Find-Open UK,https://find-open.co.uk,2,UK Local Directory,Not submitted,,,
TouchedBy,https://www.touchedby.co.uk,2,UK General Directory,Not submitted,,,
Bizwiki UK,https://www.bizwiki.co.uk,2,UK General Directory,Not submitted,,,
Approved Business,https://www.approvedbusiness.co.uk,2,UK B2B Directory,Not submitted,,,
UFindUs,https://www.ufindus.com,2,UK Trade Directory,Not submitted,,,
BusinessMagnet,https://www.businessmagnet.co.uk,2,UK B2B Directory,Not submitted,,,
ShowMeLocal UK,https://www.showmelocal.com,2,Global / UK Local,Not submitted,,,
Tuugo UK,https://www.tuugo.co.uk,2,UK General Directory,Not submitted,,,
Where To,https://www.whereto.co.uk,2,UK Local Discovery,Not submitted,,,
The Directory UK,https://www.the-directory.org.uk,2,UK General Directory,Not submitted,,,
UK Directory Hub,https://www.ukdirectoryhub.co.uk,2,UK General Directory,Not submitted,,,
Local Data Search,https://www.localdatasearch.com,2,UK NAP Directory,Not submitted,,,
BView,https://www.bview.co.uk,2,UK Local Directory,Not submitted,,,
118 Information,https://www.118information.co.uk,2,UK Directory / 118,Not submitted,,,
Infobel UK,https://www.infobel.com/en/unitedkingdom,2,International / UK,Not submitted,,,
Kompass UK,https://uk.kompass.com,2,UK B2B Directory,Not submitted,,,
Europages UK,https://www.europages.co.uk,2,UK B2B Directory,Not submitted,,,
Foursquare for Business,https://business.foursquare.com,2,Maps Ecosystem,Not submitted,,,
HERE WeGo (HERE Maps),https://wego.here.com,2,Maps / Navigation,Not submitted,,,
Nextdoor Business,https://business.nextdoor.com,2,Hyper-local UK,Not submitted,,,
Gumtree Services,https://www.gumtree.com,2,UK Marketplace,Not submitted,,,
Thomson Directories,https://www.thomsondirectories.com,2,UK General Directory,Not submitted,,,
Cylex Admin (claim listing),https://admin.cylex-uk.co.uk,2,UK Major Directory,Not submitted,,,Claim only — do not duplicate Cylex UK entry
Hotfrog Add Business,https://www.hotfrog.co.uk/AddYourBusiness,2,UK General Directory,Not submitted,,,
Local Pages UK,https://www.localpages.co.uk,2,UK Local Directory,Not submitted,,,
UK Business List,https://www.ukbusinesslist.co.uk,2,UK General Directory,Not submitted,,,
Yell Admin (claim listing),https://www.yell.com/account,2,UK Major Directory,Not submitted,,,Claim only — do not duplicate Yell entry
Bing Webmaster (verify site),https://www.bing.com/webmasters,2,Search Ecosystem,Not submitted,,,Verify shiftmyhome.co.uk
Pinterest Business,https://business.pinterest.com,2,Brand / Traffic,Not submitted,,,
Instagram Business,https://business.instagram.com,2,Brand / Social,Not submitted,,,
TikTok Business,https://www.tiktok.com/business,2,Brand / Social,Not submitted,,,
Preloved,https://www.preloved.co.uk,2,UK Marketplace,Not submitted,,,
BrightLocal UK citation reference,https://www.brightlocal.com/resources/top-local-citation-sites-uk,2,SEO Reference,Not submitted,,,Reference guide — not a listing
Yelp (consumer — claim biz),https://www.yelp.co.uk,2,Reviews / Local,Not submitted,,,
Apple Maps (via Business Connect),https://businessconnect.apple.com,2,Maps & Local Search,Not submitted,,,Same as Tier 1 Apple entry — track once
Google Search Console,https://search.google.com/search-console,2,Search Ecosystem,Not submitted,,,Verify site ownership
British Association of Removers (BAR),https://www.bar.co.uk,3,Removals Industry Body,Not submitted,,,Paid membership may be required
Compare My Move,https://www.comparemymove.com,3,Removals Comparison / Leads,Not submitted,,,Partner programme application
Really Moving,https://www.reallymoving.com,3,Removals Comparison,Not submitted,,,
AnyVan (partner programme),https://www.anyvan.com,3,Removals Marketplace,Not submitted,,,Partner application
Shiply,https://www.shiply.com,3,Logistics Marketplace,Not submitted,,,
uShip UK,https://www.uship.com/uk,3,Logistics Marketplace,Not submitted,,,
Bark.com,https://www.bark.com,3,Trade Leads / Removals,Not submitted,,,Removals category
MyBuilder,https://www.mybuilder.com,3,Trade Platform,Not submitted,,,
MyJobQuote,https://www.myjobquote.co.uk,3,Trade Quote Platform,Not submitted,,,
Which? Trusted Traders,https://trustedtraders.which.co.uk,3,Vetted Trade Scheme,Not submitted,,,Paid vetting scheme
Rated People,https://www.ratedpeople.com,3,Trade Leads,Not submitted,,,
TrustATrader,https://www.trustatrader.com,3,Vetted Trades,Not submitted,,,
My Local Services,https://www.mylocalservices.co.uk,3,Removals Category,Not submitted,,,
Removal Reviews UK,https://www.removalreviews.co.uk,3,Removals Reviews Niche,Not submitted,,,
Moving.co.uk,https://www.moving.co.uk,3,Removals Information,Not submitted,,,
Man With A Van Network,https://www.manwithvannetwork.com,3,Man & Van Niche,Not submitted,,,
VanWise,https://www.vanwise.co.uk,3,Van / Moving Adjacent,Not submitted,,,
Office Relocation UK,https://www.office-relocation.co.uk,3,Commercial Moves Niche,Not submitted,,,
National Association of Removers,https://www.nar.co.uk,3,Removals Industry Body,Not submitted,,,
MoveHub,https://www.movehub.com,3,UK / International Moves,Not submitted,,,
Courier Exchange,https://www.courierexchange.co.uk,3,Logistics B2B,Not submitted,,,
Timocom,https://www.timocom.com,3,Freight / Logistics B2B,Not submitted,,,
Glasgow Chamber of Commerce,https://www.glasgowchamber.com,3,Scotland Local Business,Not submitted,,,
Edinburgh Chamber of Commerce,https://www.edinburghchamber.co.uk,3,Scotland Local Business,Not submitted,,,
Federation of Small Businesses (FSB),https://www.fsb.org.uk,3,UK SME Membership,Not submitted,,,
Google Local Services Ads,https://ads.google.com/local-services-ads,3,Paid Local Leads,Not submitted,,,Requires Google verification
HomeAdvisor UK (Angi),https://www.homeadvisor.co.uk,3,Home Services Leads,Not submitted,,,
Expert Reviews (outreach),https://www.expertreviews.co.uk,3,PR / Best-of Lists,Not submitted,,,Outreach for inclusion — not self-serve
Scotland.org (feature pitch),https://www.scotland.org,3,Scotland Brand / PR,Not submitted,,,PR pitch — not a standard citation
Inverness Chamber of Commerce,https://www.inverness-chamber.co.uk,3,Scotland Local Business,Not submitted,,,
Aberdeen & Grampian Chamber,https://www.agcc.co.uk,3,Scotland Local Business,Not submitted,,,
Dundee & Angus Chamber,https://www.dundeeanguschamber.co.uk,3,Scotland Local Business,Not submitted,,,
Trustpilot (removals reviews),https://www.trustpilot.com/review/www.shiftmyhome.co.uk,3,Reviews / Trust,Not submitted,,,Same as Tier 1 Trustpilot — track once
Checkatrade (removals category),https://www.checkatrade.com/trades/removals,3,Trade / Vetted Directory,Not submitted,,,Same as Tier 1 Checkatrade — track once
Pickfords (industry benchmark),https://www.pickfords.co.uk,3,Removals Industry,Not submitted,,,Benchmark only — not a listing
Clarkson Mayfield Removals List,https://www.clarksonmayfield.com,3,Removals Directory Outreach,Not submitted,,,Outreach for directory inclusion
MoneySuperMarket moves (outreach),https://www.moneysupermarket.com,3,Comparison Outreach,Not submitted,,,Partnership outreach only
Rightmove (trades presence),https://www.rightmove.co.uk,3,Property Ecosystem,Not submitted,,,Brand presence only
Zoopla (trades presence),https://www.zoopla.co.uk,3,Property Ecosystem,Not submitted,,,Brand presence only
